batsman,season,Bowling Team,Innings,batsman_runs,valid_ball,not outs,Average,Strike Rate
AB de Villiers,2008,Chennai Super Kings,2,26,22,1,26.0,118.17
AB de Villiers,2008,Kolkata Knight Riders,1,7,12,0,7.0,58.33
AB de Villiers,2008,Mumbai Indians,1,21,17,0,21.0,123.53
AB de Villiers,2008,Rajasthan Royals,1,20,22,0,20.0,90.91
AB de Villiers,2008,Royal Challengers Bangalore,1,21,25,0,21.0,84.0
AB de Villiers,2009,Chennai Super Kings,2,105,55,1,105.0,190.91
AB de Villiers,2009,Deccan Chargers,3,75,66,0,25.0,113.64
AB de Villiers,2009,Kolkata Knight Riders,1,40,32,1,40.0,125.0
AB de Villiers,2009,Mumbai Indians,2,56,44,1,56.0,127.27
AB de Villiers,2009,Punjab Kings,1,11,11,0,11.0,100.0
AB de Villiers,2009,Rajasthan Royals,2,129,94,1,129.0,137.23
AB de Villiers,2009,Royal Challengers Bangalore,2,49,52,0,24.5,94.23
AB de Villiers,2010,Chennai Super Kings,1,2,3,0,2.0,66.67
AB de Villiers,2010,Deccan Chargers,1,27,26,0,27.0,103.85
AB de Villiers,2010,Mumbai Indians,2,15,18,0,7.5,83.33
AB de Villiers,2010,Punjab Kings,1,7,13,0,7.0,53.85
AB de Villiers,2010,Rajasthan Royals,1,15,24,0,15.0,62.5
AB de Villiers,2010,Royal Challengers Bangalore,1,45,35,0,45.0,128.57
AB de Villiers,2011,Chennai Super Kings,4,94,69,0,23.5,136.23
AB de Villiers,2011,Deccan Chargers,1,0,7,0,0.0,0.0
AB de Villiers,2011,Delhi Capitals,1,5,2,0,5.0,250.0
AB de Villiers,2011,Kochi Tuskers Kerala,1,54,40,1,54.0,135.0
AB de Villiers,2011,Kolkata Knight Riders,1,13,13,1,13.0,100.0
AB de Villiers,2011,Mumbai Indians,2,59,50,1,59.0,118.0
AB de Villiers,2011,Pune Warriors India,1,26,20,0,26.0,130.0
AB de Villiers,2011,Punjab Kings,2,61,41,1,61.0,148.78
AB de Villiers,2012,Chennai Super Kings,1,4,2,0,4.0,200.0
AB de Villiers,2012,Deccan Chargers,2,51,28,1,51.0,182.14
AB de Villiers,2012,Delhi Capitals,1,64,42,1,64.0,152.38
AB de Villiers,2012,Kolkata Knight Riders,2,10,11,0,5.0,90.91
AB de Villiers,2012,Mumbai Indians,1,14,13,0,14.0,107.69
AB de Villiers,2012,Pune Warriors India,2,42,18,2,42.0,233.33
AB de Villiers,2012,Punjab Kings,2,69,52,0,34.5,132.69
AB de Villiers,2012,Rajasthan Royals,2,65,31,1,65.0,209.68
AB de Villiers,2013,Chennai Super Kings,2,69,35,0,34.5,197.14
AB de Villiers,2013,Delhi Capitals,2,71,49,1,71.0,144.9
AB de Villiers,2013,Kolkata Knight Riders,2,50,44,1,50.0,113.64
AB de Villiers,2013,Mumbai Indians,1,2,3,0,2.0,66.67
AB de Villiers,2013,Pune Warriors India,2,81,31,1,81.0,261.29
AB de Villiers,2013,Punjab Kings,2,44,21,1,44.0,209.52
AB de Villiers,2013,Rajasthan Royals,2,28,21,0,14.0,133.33
AB de Villiers,2013,Sunrisers Hyderabad,1,15,15,0,15.0,100.0
AB de Villiers,2014,Chennai Super Kings,2,38,20,0,19.0,190.0
AB de Villiers,2014,Delhi Capitals,1,33,17,0,33.0,194.12
AB de Villiers,2014,Kolkata Knight Riders,2,24,25,0,12.0,96.0
AB de Villiers,2014,Mumbai Indians,2,54,55,1,54.0,98.18
AB de Villiers,2014,Punjab Kings,2,70,40,0,35.0,175.0
AB de Villiers,2014,Rajasthan Royals,2,58,33,0,29.0,175.76
AB de Villiers,2014,Sunrisers Hyderabad,2,118,58,1,118.0,203.45
AB de Villiers,2015,Chennai Super Kings,3,36,27,0,12.0,133.33
AB de Villiers,2015,Kolkata Knight Riders,2,30,17,0,15.0,176.47
AB de Villiers,2015,Mumbai Indians,2,174,69,1,174.0,252.17
AB de Villiers,2015,Punjab Kings,2,57,33,1,57.0,172.73
AB de Villiers,2015,Rajasthan Royals,3,170,116,1,85.0,146.55
AB de Villiers,2015,Sunrisers Hyderabad,2,46,29,0,23.0,158.62
AB de Villiers,2016,Delhi Capitals,2,61,41,0,30.5,148.78
AB de Villiers,2016,Gujarat Lions,3,228,114,2,228.0,200.0
AB de Villiers,2016,Kolkata Knight Riders,2,63,36,1,63.0,175.0
AB de Villiers,2016,Mumbai Indians,2,53,48,0,26.5,110.42
AB de Villiers,2016,Punjab Kings,2,64,37,0,32.0,172.97
AB de Villiers,2016,Rising Pune Supergiant,2,84,49,0,42.0,171.43
AB de Villiers,2016,Sunrisers Hyderabad,3,134,80,0,44.67,167.5
AB de Villiers,2017,Gujarat Lions,1,5,11,0,5.0,45.45
AB de Villiers,2017,Kolkata Knight Riders,2,18,14,0,9.0,128.57
AB de Villiers,2017,Mumbai Indians,2,62,48,0,31.0,129.17
AB de Villiers,2017,Punjab Kings,2,99,52,1,99.0,190.38
AB de Villiers,2017,Rising Pune Supergiant,2,32,38,0,16.0,84.21
AB de Villiers,2018,Chennai Super Kings,2,69,34,0,34.5,202.94
AB de Villiers,2018,Delhi Capitals,2,162,76,2,162.0,213.16
AB de Villiers,2018,Kolkata Knight Riders,1,44,23,0,44.0,191.3
AB de Villiers,2018,Mumbai Indians,1,1,2,0,1.0,50.0
AB de Villiers,2018,Punjab Kings,1,57,40,0,57.0,142.5
AB de Villiers,2018,Rajasthan Royals,2,73,53,0,36.5,137.74
AB de Villiers,2018,Sunrisers Hyderabad,2,74,47,0,37.0,157.45
AB de Villiers,2019,Chennai Super Kings,2,34,29,0,17.0,117.24
AB de Villiers,2019,Delhi Capitals,2,34,35,0,17.0,97.14
AB de Villiers,2019,Kolkata Knight Riders,1,63,32,0,63.0,196.88
AB de Villiers,2019,Mumbai Indians,2,145,92,1,145.0,157.61
AB de Villiers,2019,Punjab Kings,2,141,82,2,141.0,171.95
AB de Villiers,2019,Rajasthan Royals,2,23,13,0,11.5,176.92
AB de Villiers,2019,Sunrisers Hyderabad,2,2,4,0,1.0,50.0
AB de Villiers,2020,Chennai Super Kings,2,39,37,0,19.5,105.41
AB de Villiers,2020,Delhi Capitals,2,44,27,0,22.0,162.96
AB de Villiers,2020,Kolkata Knight Riders,1,73,32,1,73.0,228.12
AB de Villiers,2020,Mumbai Indians,2,70,36,1,70.0,194.44
AB de Villiers,2020,Punjab Kings,2,30,23,0,15.0,130.43
AB de Villiers,2020,Rajasthan Royals,2,67,32,2,67.0,209.38
AB de Villiers,2020,Sunrisers Hyderabad,3,131,96,0,43.67,136.46
Aakash Chopra,2008,Deccan Chargers,1,24,23,0,24.0,104.35
Aakash Chopra,2008,Delhi Capitals,1,13,17,0,13.0,76.47
Aakash Chopra,2008,Mumbai Indians,1,1,4,0,1.0,25.0
Aakash Chopra,2008,Punjab Kings,1,2,3,0,2.0,66.67
Aakash Chopra,2008,Royal Challengers Bangalore,1,2,5,0,2.0,40.0
Aakash Chopra,2009,Deccan Chargers,1,11,19,0,11.0,57.89
Aaron Finch,2010,Kolkata Knight Riders,1,21,21,0,21.0,100.0
Aaron Finch,2011,Deccan Chargers,2,0,3,0,0.0,0.0
Aaron Finch,2011,Mumbai Indians,1,8,12,0,8.0,66.67
Aaron Finch,2011,Pune Warriors India,1,25,12,0,25.0,208.33
Aaron Finch,2011,Punjab Kings,1,3,5,0,3.0,60.0
Aaron Finch,2011,Rajasthan Royals,1,11,14,0,11.0,78.57
Aaron Finch,2012,Kolkata Knight Riders,1,30,27,0,30.0,111.11
Aaron Finch,2012,Royal Challengers Bangalore,1,25,24,0,25.0,104.17
Aaron Finch,2013,Chennai Super Kings,2,82,53,0,41.0,154.72
Aaron Finch,2013,Delhi Capitals,2,89,67,0,44.5,132.84
Aaron Finch,2013,Kolkata Knight Riders,2,53,37,0,26.5,143.24
Aaron Finch,2013,Mumbai Indians,2,10,12,0,5.0,83.33
Aaron Finch,2013,Punjab Kings,1,64,42,0,64.0,152.38
Aaron Finch,2013,Rajasthan Royals,2,109,85,0,54.5,128.24
Aaron Finch,2013,Royal Challengers Bangalore,2,33,26,0,16.5,126.92
Aaron Finch,2013,Sunrisers Hyderabad,1,16,13,0,16.0,123.08
Aaron Finch,2014,Chennai Super Kings,2,51,48,0,25.5,106.25
Aaron Finch,2014,Delhi Capitals,2,92,60,1,92.0,153.33
Aaron Finch,2014,Kolkata Knight Riders,1,8,8,0,8.0,100.0
Aaron Finch,2014,Mumbai Indians,2,84,77,0,42.0,109.09
Aaron Finch,2014,Punjab Kings,2,39,36,0,19.5,108.33
Aaron Finch,2014,Rajasthan Royals,2,11,15,0,5.5,73.33
Aaron Finch,2014,Royal Challengers Bangalore,2,24,17,1,24.0,141.18
Aaron Finch,2015,Kolkata Knight Riders,1,5,5,0,5.0,100.0
Aaron Finch,2015,Punjab Kings,1,8,14,0,8.0,57.14
Aaron Finch,2015,Rajasthan Royals,1,10,14,0,10.0,71.43
Aaron Finch,2016,Delhi Capitals,1,5,5,0,5.0,100.0
Aaron Finch,2016,Kolkata Knight Riders,2,55,33,0,27.5,166.67
Aaron Finch,2016,Mumbai Indians,2,67,56,1,67.0,119.64
Aaron Finch,2016,Punjab Kings,1,74,47,0,74.0,157.45
Aaron Finch,2016,Rising Pune Supergiant,1,50,36,0,50.0,138.89
Aaron Finch,2016,Royal Challengers Bangalore,2,41,42,0,20.5,97.62
Aaron Finch,2016,Sunrisers Hyderabad,3,101,78,1,50.5,129.49
Aaron Finch,2017,Delhi Capitals,2,96,58,0,48.0,165.52
Aaron Finch,2017,Kolkata Knight Riders,2,46,22,0,23.0,209.09
Aaron Finch,2017,Mumbai Indians,1,0,3,0,0.0,0.0
Aaron Finch,2017,Punjab Kings,2,15,14,0,7.5,107.14
Aaron Finch,2017,Rising Pune Supergiant,2,46,25,1,46.0,184.0
Aaron Finch,2017,Royal Challengers Bangalore,2,91,49,0,45.5,185.71
Aaron Finch,2017,Sunrisers Hyderabad,2,5,8,0,2.5,62.5
Aaron Finch,2018,Chennai Super Kings,2,4,7,0,2.0,57.14
Aaron Finch,2018,Delhi Capitals,1,2,4,0,2.0,50.0
Aaron Finch,2018,Kolkata Knight Riders,1,34,20,0,34.0,170.0
Aaron Finch,2018,Mumbai Indians,1,46,35,0,46.0,131.43
Aaron Finch,2018,Royal Challengers Bangalore,2,26,24,0,13.0,108.33
Aaron Finch,2018,Sunrisers Hyderabad,2,22,10,1,22.0,220.0
Aaron Finch,2020,Chennai Super Kings,2,17,20,0,8.5,85.0
Aaron Finch,2020,Delhi Capitals,1,13,14,0,13.0,92.86
Aaron Finch,2020,Kolkata Knight Riders,2,63,58,0,31.5,108.62
Aaron Finch,2020,Mumbai Indians,1,52,35,0,52.0,148.57
Aaron Finch,2020,Punjab Kings,2,40,39,0,20.0,102.56
Aaron Finch,2020,Rajasthan Royals,2,22,18,0,11.0,122.22
Aaron Finch,2020,Sunrisers Hyderabad,2,61,55,0,30.5,110.91
Abdul Samad,2020,Chennai Super Kings,1,8,6,1,8.0,133.33
Abdul Samad,2020,Delhi Capitals,2,45,23,1,45.0,195.65
Abdul Samad,2020,Kolkata Knight Riders,1,23,15,0,23.0,153.33
Abdul Samad,2020,Mumbai Indians,1,20,9,0,20.0,222.22
Abdul Samad,2020,Punjab Kings,2,15,12,0,7.5,125.0
Abdur Razzak,2008,Rajasthan Royals,1,0,2,1,0.0,0.0
Abhimanyu Mithun,2010,Delhi Capitals,1,5,4,0,5.0,125.0
Abhimanyu Mithun,2011,Chennai Super Kings,1,11,8,0,11.0,137.5
Abhimanyu Mithun,2011,Delhi Capitals,1,0,2,0,0.0,0.0
Abhimanyu Mithun,2011,Punjab Kings,2,16,10,1,16.0,160.0
Abhimanyu Mithun,2013,Kolkata Knight Riders,1,2,2,0,2.0,100.0
Abhinav Mukund,2008,Rajasthan Royals,1,0,1,0,0.0,0.0
Abhinav Mukund,2013,Rajasthan Royals,1,19,21,0,19.0,90.48
Abhishek Jhunjhunwala,2010,Chennai Super Kings,2,18,10,0,9.0,180.0
Abhishek Jhunjhunwala,2010,Deccan Chargers,1,11,8,0,11.0,137.5
Abhishek Jhunjhunwala,2010,Delhi Capitals,2,55,50,1,55.0,110.0
Abhishek Jhunjhunwala,2010,Kolkata Knight Riders,1,45,36,0,45.0,125.0
Abhishek Jhunjhunwala,2010,Mumbai Indians,2,36,33,0,18.0,109.09
Abhishek Jhunjhunwala,2010,Royal Challengers Bangalore,2,18,29,0,9.0,62.07
Abhishek Jhunjhunwala,2011,Mumbai Indians,1,10,15,0,10.0,66.67
Abhishek Jhunjhunwala,2011,Punjab Kings,1,0,2,0,0.0,0.0
Abhishek Jhunjhunwala,2012,Chennai Super Kings,1,1,1,1,1.0,100.0
Abhishek Jhunjhunwala,2012,Delhi Capitals,1,4,5,0,4.0,80.0
Abhishek Jhunjhunwala,2012,Punjab Kings,1,19,20,0,19.0,95.0
Abhishek Nayar,2008,Chennai Super Kings,1,45,19,1,45.0,236.84
Abhishek Nayar,2008,Deccan Chargers,2,72,43,0,36.0,167.44
Abhishek Nayar,2008,Delhi Capitals,2,3,9,0,1.5,33.33
Abhishek Nayar,2008,Punjab Kings,2,29,21,0,14.5,138.1
Abhishek Nayar,2008,Rajasthan Royals,2,37,31,1,37.0,119.35
Abhishek Nayar,2008,Royal Challengers Bangalore,1,20,14,0,20.0,142.86
Abhishek Nayar,2009,Chennai Super Kings,2,68,41,1,68.0,165.85
Abhishek Nayar,2009,Deccan Chargers,2,11,10,0,5.5,110.0
Abhishek Nayar,2009,Delhi Capitals,2,22,32,0,11.0,68.75
Abhishek Nayar,2009,Kolkata Knight Riders,2,13,16,0,6.5,81.25
Abhishek Nayar,2009,Punjab Kings,1,15,15,0,15.0,100.0
Abhishek Nayar,2009,Rajasthan Royals,1,35,18,0,35.0,194.44
Abhishek Nayar,2009,Royal Challengers Bangalore,1,29,19,1,29.0,152.63
Abhishek Nayar,2010,Chennai Super Kings,1,27,26,0,27.0,103.85
Abhishek Nayar,2010,Royal Challengers Bangalore,2,31,25,1,31.0,124.0
Abhishek Nayar,2011,Chennai Super Kings,1,0,1,0,0.0,0.0
Abhishek Nayar,2011,Deccan Chargers,2,16,17,1,16.0,94.12
Abhishek Nayar,2011,Delhi Capitals,1,17,13,1,17.0,130.77
Abhishek Nayar,2011,Kolkata Knight Riders,1,0,2,0,0.0,0.0
Abhishek Nayar,2011,Mumbai Indians,1,14,9,0,14.0,155.56
Abhishek Nayar,2011,Pune Warriors India,1,12,17,0,12.0,70.59
Abhishek Nayar,2011,Rajasthan Royals,1,1,3,0,1.0,33.33
Abhishek Nayar,2011,Royal Challengers Bangalore,1,1,4,0,1.0,25.0
Abhishek Nayar,2012,Pune Warriors India,1,24,28,0,24.0,85.71
Abhishek Nayar,2012,Rajasthan Royals,2,19,18,1,19.0,105.56
Abhishek Nayar,2012,Royal Challengers Bangalore,1,2,3,0,2.0,66.67
Abhishek Nayar,2013,Chennai Super Kings,2,2,5,1,2.0,40.0
Abhishek Nayar,2013,Mumbai Indians,2,17,21,0,8.5,80.95
Abhishek Nayar,2013,Punjab Kings,2,27,28,2,27.0,96.43
Abhishek Nayar,2013,Royal Challengers Bangalore,1,1,3,0,1.0,33.33
Abhishek Nayar,2013,Sunrisers Hyderabad,2,19,16,0,9.5,118.75
Abhishek Nayar,2014,Chennai Super Kings,1,5,7,0,5.0,71.43
Abhishek Nayar,2014,Punjab Kings,1,23,19,0,23.0,121.05
Abhishek Nayar,2014,Royal Challengers Bangalore,1,11,17,1,11.0,64.71
Abhishek Nayar,2014,Sunrisers Hyderabad,1,4,3,0,4.0,133.33
Abhishek Raut,2009,Chennai Super Kings,1,7,5,0,7.0,140.0
Abhishek Raut,2009,Deccan Chargers,2,37,25,1,37.0,148.0
Abhishek Raut,2009,Delhi Capitals,1,11,13,0,11.0,84.62
Abhishek Raut,2009,Kolkata Knight Riders,1,21,13,1,21.0,161.54
Abhishek Raut,2009,Punjab Kings,2,2,5,1,2.0,40.0
Abhishek Raut,2010,Chennai Super Kings,1,2,4,1,2.0,50.0
Abhishek Raut,2010,Deccan Chargers,1,0,3,0,0.0,0.0
Abhishek Raut,2010,Kolkata Knight Riders,1,2,4,0,2.0,50.0
Abhishek Raut,2010,Mumbai Indians,1,20,17,1,20.0,117.65
Abhishek Raut,2010,Royal Challengers Bangalore,1,32,20,1,32.0,160.0
Abhishek Raut,2011,Chennai Super Kings,1,19,14,0,19.0,135.71
Abhishek Raut,2011,Kolkata Knight Riders,1,11,15,0,11.0,73.33
Abhishek Raut,2011,Punjab Kings,1,25,21,0,25.0,119.05
Abhishek Raut,2011,Royal Challengers Bangalore,1,5,8,1,5.0,62.5
Abhishek Sharma,2018,Chennai Super Kings,1,2,4,0,2.0,50.0
Abhishek Sharma,2018,Mumbai Indians,1,15,10,1,15.0,150.0
Abhishek Sharma,2018,Royal Challengers Bangalore,1,46,19,1,46.0,242.11
Abhishek Sharma,2019,Delhi Capitals,1,2,3,0,2.0,66.67
Abhishek Sharma,2019,Mumbai Indians,1,2,3,0,2.0,66.67
Abhishek Sharma,2019,Punjab Kings,1,5,3,1,5.0,166.67
Abhishek Sharma,2020,Chennai Super Kings,1,31,24,0,31.0,129.17
Abhishek Sharma,2020,Delhi Capitals,1,1,1,1,1.0,100.0
Abhishek Sharma,2020,Kolkata Knight Riders,1,2,3,1,2.0,66.67
Abhishek Sharma,2020,Mumbai Indians,1,10,13,0,10.0,76.92
Abhishek Sharma,2020,Punjab Kings,1,12,6,0,12.0,200.0
Abhishek Sharma,2020,Royal Challengers Bangalore,2,15,9,0,7.5,166.67
Abu Nechim,2010,Chennai Super Kings,1,4,7,1,4.0,57.14
Abu Nechim,2011,Royal Challengers Bangalore,1,18,13,1,18.0,138.46
Abu Nechim,2014,Chennai Super Kings,1,4,1,1,4.0,400.0
Abu Nechim,2015,Kolkata Knight Riders,1,5,2,1,5.0,250.0
Abu Nechim,2015,Mumbai Indians,1,1,1,1,1.0,100.0
Abu Nechim,2015,Sunrisers Hyderabad,1,4,2,0,4.0,200.0
Adam Gilchrist,2008,Chennai Super Kings,2,59,42,0,29.5,140.48
Adam Gilchrist,2008,Delhi Capitals,2,22,18,0,11.0,122.22
Adam Gilchrist,2008,Kolkata Knight Riders,2,47,38,0,23.5,123.68
Adam Gilchrist,2008,Mumbai Indians,2,122,63,1,122.0,193.65
Adam Gilchrist,2008,Punjab Kings,2,56,48,0,28.0,116.67
Adam Gilchrist,2008,Rajasthan Royals,2,74,57,0,37.0,129.82
Adam Gilchrist,2008,Royal Challengers Bangalore,2,56,48,0,28.0,116.67
Adam Gilchrist,2009,Chennai Super Kings,2,44,20,0,22.0,220.0
Adam Gilchrist,2009,Delhi Capitals,3,157,71,0,52.33,221.13
Adam Gilchrist,2009,Kolkata Knight Riders,2,56,42,0,28.0,133.33
Adam Gilchrist,2009,Mumbai Indians,2,60,49,0,30.0,122.45
Adam Gilchrist,2009,Punjab Kings,2,43,28,0,21.5,153.57
Adam Gilchrist,2009,Rajasthan Royals,2,49,46,0,24.5,106.52
Adam Gilchrist,2009,Royal Challengers Bangalore,3,86,66,0,28.67,130.3
Adam Gilchrist,2010,Chennai Super Kings,3,60,45,0,20.0,133.33
Adam Gilchrist,2010,Delhi Capitals,2,34,23,0,17.0,147.83
Adam Gilchrist,2010,Kolkata Knight Riders,2,63,40,0,31.5,157.5
Adam Gilchrist,2010,Mumbai Indians,2,19,16,0,9.5,118.75
Adam Gilchrist,2010,Punjab Kings,2,42,17,0,21.0,247.06
Adam Gilchrist,2010,Rajasthan Royals,2,35,20,0,17.5,175.0
Adam Gilchrist,2010,Royal Challengers Bangalore,3,36,24,0,12.0,150.0
Adam Gilchrist,2011,Chennai Super Kings,1,19,15,0,19.0,126.67
Adam Gilchrist,2011,Deccan Chargers,2,112,83,0,56.0,134.94
Adam Gilchrist,2011,Delhi Capitals,2,51,41,0,25.5,124.39
Adam Gilchrist,2011,Kochi Tuskers Kerala,1,9,15,0,9.0,60.0
Adam Gilchrist,2011,Kolkata Knight Riders,1,26,27,0,26.0,96.3
Adam Gilchrist,2011,Mumbai Indians,2,28,30,0,14.0,93.33
Adam Gilchrist,2011,Pune Warriors India,2,4,11,0,2.0,36.36
Adam Gilchrist,2011,Rajasthan Royals,1,28,15,0,28.0,186.67
Adam Gilchrist,2011,Royal Challengers Bangalore,2,106,54,0,53.0,196.3
Adam Gilchrist,2012,Chennai Super Kings,1,64,46,1,64.0,139.13
Adam Gilchrist,2012,Delhi Capitals,1,9,12,0,9.0,75.0
Adam Gilchrist,2012,Kolkata Knight Riders,2,45,39,1,45.0,115.38
Adam Gilchrist,2012,Pune Warriors India,2,27,28,0,13.5,96.43
Adam Gilchrist,2012,Rajasthan Royals,1,27,17,0,27.0,158.82
Adam Gilchrist,2013,Chennai Super Kings,1,9,6,0,9.0,150.0
Adam Gilchrist,2013,Delhi Capitals,2,48,29,0,24.0,165.52
Adam Gilchrist,2013,Kolkata Knight Riders,2,34,39,0,17.0,87.18
Adam Gilchrist,2013,Mumbai Indians,1,5,7,0,5.0,71.43
Adam Gilchrist,2013,Pune Warriors India,2,19,13,0,9.5,146.15
Adam Gilchrist,2013,Rajasthan Royals,2,42,34,0,21.0,123.53
Adam Gilchrist,2013,Royal Challengers Bangalore,1,85,54,1,85.0,157.41
Adam Gilchrist,2013,Sunrisers Hyderabad,2,52,47,0,26.0,110.64
Adam Milne,2017,Mumbai Indians,1,0,1,1,0.0,0.0
Adam Milne,2017,Rising Pune Supergiant,2,7,11,0,3.5,63.64
Adam Voges,2010,Chennai Super Kings,1,20,19,0,20.0,105.26
Adam Voges,2010,Delhi Capitals,1,15,17,0,15.0,88.24
Adam Voges,2010,Kolkata Knight Riders,2,45,29,1,45.0,155.17
Adam Voges,2010,Mumbai Indians,1,28,27,0,28.0,103.7
Adam Voges,2010,Punjab Kings,1,45,24,1,45.0,187.5
Adam Voges,2010,Royal Challengers Bangalore,1,28,27,1,28.0,103.7
Adam Zampa,2016,Sunrisers Hyderabad,1,0,1,0,0.0,0.0
Adam Zampa,2017,Delhi Capitals,1,5,7,0,5.0,71.43
Aditya Dole,2010,Deccan Chargers,1,4,4,0,4.0,100.0
Aditya Dole,2010,Mumbai Indians,1,30,18,0,30.0,166.67
Aditya Tare,2010,Delhi Capitals,1,17,10,0,17.0,170.0
Aditya Tare,2010,Kolkata Knight Riders,1,1,3,0,1.0,33.33
Aditya Tare,2010,Rajasthan Royals,1,23,13,0,23.0,176.92
Aditya Tare,2010,Royal Challengers Bangalore,1,9,10,0,9.0,90.0
Aditya Tare,2013,Chennai Super Kings,2,7,8,0,3.5,87.5
Aditya Tare,2013,Punjab Kings,1,22,12,0,22.0,183.33
Aditya Tare,2013,Rajasthan Royals,2,94,64,0,47.0,146.88
Aditya Tare,2014,Chennai Super Kings,3,32,25,0,10.67,128.0
Aditya Tare,2014,Delhi Capitals,2,22,18,0,11.0,122.22
Aditya Tare,2014,Kolkata Knight Riders,2,26,25,1,26.0,104.0
Aditya Tare,2014,Punjab Kings,1,16,6,1,16.0,266.67
Aditya Tare,2014,Rajasthan Royals,1,6,1,1,6.0,600.0
Aditya Tare,2014,Royal Challengers Bangalore,1,17,17,0,17.0,100.0
Aditya Tare,2014,Sunrisers Hyderabad,1,7,5,0,7.0,140.0
Aditya Tare,2015,Kolkata Knight Riders,1,7,7,0,7.0,100.0
Aditya Tare,2015,Punjab Kings,1,7,10,0,7.0,70.0
Aditya Tare,2016,Punjab Kings,1,0,1,0,0.0,0.0
Aditya Tare,2016,Rising Pune Supergiant,1,8,14,0,8.0,57.14
Aditya Tare,2017,Mumbai Indians,1,0,1,0,0.0,0.0
Aditya Tare,2017,Rising Pune Supergiant,1,0,5,0,0.0,0.0
Aditya Tare,2017,Royal Challengers Bangalore,1,18,17,0,18.0,105.88
Adrian Barath,2010,Deccan Chargers,1,7,10,0,7.0,70.0
Adrian Barath,2010,Delhi Capitals,1,2,5,1,2.0,40.0
Adrian Barath,2010,Mumbai Indians,1,33,27,0,33.0,122.22
Aiden Blizzard,2011,Deccan Chargers,1,1,7,0,1.0,14.29
Aiden Blizzard,2011,Delhi Capitals,1,37,23,0,37.0,160.87
Aiden Blizzard,2011,Kolkata Knight Riders,1,51,30,0,51.0,170.0
Aiden Blizzard,2011,Pune Warriors India,1,6,6,0,6.0,100.0
Aiden Blizzard,2011,Punjab Kings,1,15,10,0,15.0,150.0
Aiden Blizzard,2011,Royal Challengers Bangalore,1,10,11,0,10.0,90.91
Aiden Blizzard,2012,Delhi Capitals,1,0,3,0,0.0,0.0
Ajantha Mendis,2009,Mumbai Indians,1,0,1,0,0.0,0.0
Ajantha Mendis,2010,Royal Challengers Bangalore,1,1,1,1,1.0,100.0
Ajantha Mendis,2013,Royal Challengers Bangalore,1,2,4,0,2.0,50.0
Ajinkya Rahane,2008,Deccan Chargers,1,0,7,0,0.0,0.0
Ajinkya Rahane,2008,Kolkata Knight Riders,1,4,10,0,4.0,40.0
Ajinkya Rahane,2009,Delhi Capitals,2,68,52,0,34.0,130.77
Ajinkya Rahane,2009,Kolkata Knight Riders,1,10,7,0,10.0,142.86
Ajinkya Rahane,2009,Punjab Kings,1,1,5,0,1.0,20.0
Ajinkya Rahane,2009,Rajasthan Royals,1,3,7,0,3.0,42.86
Ajinkya Rahane,2009,Royal Challengers Bangalore,2,62,50,1,62.0,124.0
Ajinkya Rahane,2011,Chennai Super Kings,2,56,44,0,28.0,127.27
Ajinkya Rahane,2011,Delhi Capitals,1,18,17,0,18.0,105.88
Ajinkya Rahane,2011,Kochi Tuskers Kerala,1,8,9,0,8.0,88.89
Ajinkya Rahane,2011,Kolkata Knight Riders,1,6,9,0,6.0,66.67
Ajinkya Rahane,2011,Pune Warriors India,1,15,9,1,15.0,166.67
Ajinkya Rahane,2011,Royal Challengers Bangalore,1,17,10,0,17.0,170.0
Ajinkya Rahane,2012,Chennai Super Kings,2,32,32,0,16.0,100.0
Ajinkya Rahane,2012,Deccan Chargers,2,50,38,0,25.0,131.58
Ajinkya Rahane,2012,Delhi Capitals,2,126,95,1,126.0,132.63
Ajinkya Rahane,2012,Kolkata Knight Riders,2,19,20,0,9.5,95.0
Ajinkya Rahane,2012,Mumbai Indians,2,53,48,0,26.5,110.42
Ajinkya Rahane,2012,Pune Warriors India,2,61,50,0,30.5,122.0
Ajinkya Rahane,2012,Punjab Kings,2,103,72,0,51.5,143.06
Ajinkya Rahane,2012,Royal Challengers Bangalore,2,116,78,1,116.0,148.72
Ajinkya Rahane,2013,Chennai Super Kings,2,25,25,0,12.5,100.0
Ajinkya Rahane,2013,Delhi Capitals,2,91,69,1,91.0,131.88
Ajinkya Rahane,2013,Kolkata Knight Riders,2,42,44,0,21.0,95.45
Ajinkya Rahane,2013,Mumbai Indians,3,93,80,1,46.5,116.25
Ajinkya Rahane,2013,Pune Warriors India,2,97,75,0,48.5,129.33
Ajinkya Rahane,2013,Punjab Kings,2,93,91,2,93.0,102.2
Ajinkya Rahane,2013,Royal Challengers Bangalore,2,16,20,0,8.0,80.0
Ajinkya Rahane,2013,Sunrisers Hyderabad,3,31,54,0,10.33,57.41
Ajinkya Rahane,2014,Chennai Super Kings,2,19,19,0,9.5,100.0
Ajinkya Rahane,2014,Delhi Capitals,2,76,60,0,38.0,126.67
Ajinkya Rahane,2014,Kolkata Knight Riders,2,102,81,0,51.0,125.93
Ajinkya Rahane,2014,Punjab Kings,2,36,34,0,18.0,105.88
Ajinkya Rahane,2014,Royal Challengers Bangalore,2,47,41,0,23.5,114.63
Ajinkya Rahane,2014,Sunrisers Hyderabad,2,59,56,0,29.5,105.36
Ajinkya Rahane,2015,Chennai Super Kings,2,99,72,1,99.0,137.5
