id,inning,batting_team,batsman,batsman_runs,valid_ball,strike_rate,bowler,dismissal_kind,fielder,info,season,is_four,is_six,bowling_team
335982,1,Kolkata Knight Riders,Brendon McCullum,158,73,216.4,,,,not out,2008,10,13,Royal Challengers Bangalore
335982,1,Kolkata Knight Riders,Ricky Ponting,20,20,100.0,Jacques Kallis,caught,Praveen Kumar,c Praveen Kumar b Jacques Kallis,2008,1,1,Royal Challengers Bangalore
335982,1,Kolkata Knight Riders,David Hussey,12,12,100.0,Ashley Noffke,caught,Cameron White,c Cameron White b Ashley Noffke,2008,1,0,Royal Challengers Bangalore
335982,1,Kolkata Knight Riders,Sourav Ganguly,10,12,83.3,Zaheer Khan,caught,Jacques Kallis,c Jacques Kallis b Zaheer Khan,2008,2,0,Royal Challengers Bangalore
335982,1,Kolkata Knight Riders,Mohammad Hafeez,5,3,166.7,,,,not out,2008,1,0,Royal Challengers Bangalore
335982,2,Royal Challengers Bangalore,Praveen Kumar,18,15,120.0,,,,not out,2008,1,2,Kolkata Knight Riders
335982,2,Royal Challengers Bangalore,Ashley Noffke,9,10,90.0,Sourav Ganguly,run out,"AB Agarkar,WP Saha","run out AB Agarkar,WP Saha",2008,1,0,Kolkata Knight Riders
335982,2,Royal Challengers Bangalore,Jacques Kallis,8,7,114.3,Ajit Agarkar,caught,Murali Kartik,c Murali Kartik b Ajit Agarkar,2008,0,1,Kolkata Knight Riders
335982,2,Royal Challengers Bangalore,Mark Boucher,7,9,77.8,Sourav Ganguly,caught,Murali Kartik,c Murali Kartik b Sourav Ganguly,2008,1,0,Kolkata Knight Riders
335982,2,Royal Challengers Bangalore,Cameron White,6,10,60.0,Ajit Agarkar,caught,Wriddhiman Saha,c Wriddhiman Saha b Ajit Agarkar,2008,0,0,Kolkata Knight Riders
335982,2,Royal Challengers Bangalore,Wasim Jaffer,6,16,37.5,Ashoke Dinda,caught,Ricky Ponting,c Ricky Ponting b Ashoke Dinda,2008,0,0,Kolkata Knight Riders
335982,2,Royal Challengers Bangalore,Sunil Joshi,3,6,50.0,Laxmi Shukla,caught,Brendon McCullum,c Brendon McCullum b Laxmi Shukla,2008,0,0,Kolkata Knight Riders
335982,2,Royal Challengers Bangalore,Zaheer Khan,3,8,37.5,Sourav Ganguly,bowled,,b Sourav Ganguly,2008,0,0,Kolkata Knight Riders
335982,2,Royal Challengers Bangalore,Rahul Dravid,2,3,66.7,Ishant Sharma,bowled,,b Ishant Sharma,2008,0,0,Kolkata Knight Riders
335982,2,Royal Challengers Bangalore,Virat Kohli,1,5,20.0,Ashoke Dinda,bowled,,b Ashoke Dinda,2008,0,0,Kolkata Knight Riders
335982,2,Royal Challengers Bangalore,Balachandra Akhil,0,2,0.0,Ajit Agarkar,caught,Ricky Ponting,c Ricky Ponting b Ajit Agarkar,2008,0,0,Kolkata Knight Riders
335983,1,Chennai Super Kings,Michael Hussey,116,54,214.8,,,,not out,2008,8,9,Punjab Kings
335983,1,Chennai Super Kings,Suresh Raina,32,13,246.2,Wilkin Mota,caught,Irfan Pathan,c Irfan Pathan b Wilkin Mota,2008,2,3,Punjab Kings
335983,1,Chennai Super Kings,Subramaniam Badrinath,31,14,221.4,,,,not out,2008,3,2,Punjab Kings
335983,1,Chennai Super Kings,Matthew Hayden,25,16,156.2,Irfan Pathan,bowled,,b Irfan Pathan,2008,4,1,Punjab Kings
335983,1,Chennai Super Kings,Parthiv Patel,15,10,150.0,Brett Lee,caught,Kumar Sangakkara,c Kumar Sangakkara b Brett Lee,2008,3,0,Punjab Kings
335983,1,Chennai Super Kings,Jacob Oram,13,10,130.0,Irfan Pathan,bowled,,b Irfan Pathan,2008,0,1,Punjab Kings
335983,1,Chennai Super Kings,Mahendra Singh Dhoni,2,3,66.7,James Hopes,lbw,,lbw b James Hopes,2008,0,0,Punjab Kings
335983,2,Punjab Kings,James Hopes,71,33,215.2,Palani Amarnath,caught,Joginder Sharma,c Joginder Sharma b Palani Amarnath,2008,10,3,Chennai Super Kings
335983,2,Punjab Kings,Kumar Sangakkara,54,33,163.6,Muttiah Muralitharan,caught,Joginder Sharma,c Joginder Sharma b Muttiah Muralitharan,2008,5,2,Chennai Super Kings
335983,2,Punjab Kings,Karan Goel,24,19,126.3,Manpreet Gony,caught,Parthiv Patel,c Parthiv Patel b Manpreet Gony,2008,2,1,Chennai Super Kings
335983,2,Punjab Kings,Yuvraj Singh,23,13,176.9,Joginder Sharma,caught,Palani Amarnath,c Palani Amarnath b Joginder Sharma,2008,1,2,Chennai Super Kings
335983,2,Punjab Kings,Simon Katich,21,17,123.5,,,,not out,2008,0,1,Chennai Super Kings
335983,2,Punjab Kings,Irfan Pathan,3,5,60.0,,,,not out,2008,0,0,Chennai Super Kings
335984,2,Delhi Capitals,Gautam Gambhir,58,46,126.1,,,,not out,2008,7,1,Rajasthan Royals
335984,2,Delhi Capitals,Shikhar Dhawan,52,41,126.8,,,,not out,2008,8,0,Rajasthan Royals
335984,2,Delhi Capitals,Virender Sehwag,12,4,300.0,Shane Watson,bowled,,b Shane Watson,2008,3,0,Rajasthan Royals
335984,1,Rajasthan Royals,Ravindra Jadeja,29,23,126.1,Daniel Vettori,bowled,,b Daniel Vettori,2008,2,2,Delhi Capitals
335984,1,Rajasthan Royals,Dinesh Salunkhe,26,20,130.0,,,,not out,2008,4,0,Delhi Capitals
335984,1,Rajasthan Royals,Shane Watson,21,15,140.0,Rajat Bhatia,run out,,run out Rajat Bhatia,2008,4,0,Delhi Capitals
335984,1,Rajasthan Royals,Shane Warne,14,13,107.7,Farveez Maharoof,bowled,,b Farveez Maharoof,2008,2,0,Delhi Capitals
335984,1,Rajasthan Royals,Yusuf Pathan,10,5,200.0,Brett Geeves,run out,,run out Brett Geeves,2008,2,0,Delhi Capitals
335984,1,Rajasthan Royals,Mohammad Kaif,9,19,47.4,Rajat Bhatia,caught,Brett Geeves,c Brett Geeves b Rajat Bhatia,2008,0,0,Delhi Capitals
335984,1,Rajasthan Royals,Taruwar Kohli,7,12,58.3,Glenn McGrath,caught,Mithun Manhas,c Mithun Manhas b Glenn McGrath,2008,0,1,Delhi Capitals
335984,1,Rajasthan Royals,Siddharth Trivedi,3,7,42.9,,,,not out,2008,0,0,Delhi Capitals
335984,1,Rajasthan Royals,Mahesh Rawat,2,4,50.0,Rajat Bhatia,bowled,,b Rajat Bhatia,2008,0,0,Delhi Capitals
335984,1,Rajasthan Royals,Darren Lehmann,1,2,50.0,Farveez Maharoof,lbw,,lbw b Farveez Maharoof,2008,0,0,Delhi Capitals
335985,1,Mumbai Indians,Robin Uthappa,48,38,126.3,Balachandra Akhil,stumped,Mark Boucher,stumped Mark Boucher b Balachandra Akhil,2008,5,1,Royal Challengers Bangalore
335985,1,Mumbai Indians,Sanath Jayasuriya,29,16,181.2,Zaheer Khan,run out,Zaheer Khan,run out Zaheer Khan,2008,5,1,Royal Challengers Bangalore
335985,1,Mumbai Indians,Shaun Pollock,28,12,233.3,Zaheer Khan,bowled,,b Zaheer Khan,2008,3,2,Royal Challengers Bangalore
335985,1,Mumbai Indians,Abhishek Nayar,20,14,142.9,Praveen Kumar,caught,Zaheer Khan,c Zaheer Khan b Praveen Kumar,2008,1,1,Royal Challengers Bangalore
335985,1,Mumbai Indians,Pinal Shah,19,23,82.6,Balachandra Akhil,caught,Virat Kohli,c Virat Kohli b Balachandra Akhil,2008,2,0,Royal Challengers Bangalore
335985,1,Mumbai Indians,Luke Ronchi,8,10,80.0,Zaheer Khan,caught,Virat Kohli,c Virat Kohli b Zaheer Khan,2008,2,0,Royal Challengers Bangalore
335985,1,Mumbai Indians,Harbhajan Singh,2,2,100.0,,,,not out,2008,0,0,Royal Challengers Bangalore
335985,1,Mumbai Indians,Dominic Thornely,0,5,0.0,Zaheer Khan,retired hurt,,retired hurt,2008,0,0,Royal Challengers Bangalore
335985,2,Royal Challengers Bangalore,Mark Boucher,39,19,205.3,,,,not out,2008,4,2,Mumbai Indians
335985,2,Royal Challengers Bangalore,Rahul Dravid,32,33,97.0,Harbhajan Singh,caught and bowled,,c &b Harbhajan Singh,2008,4,0,Mumbai Indians
335985,2,Royal Challengers Bangalore,Jacques Kallis,25,24,104.2,Harbhajan Singh,caught,Abhishek Nayar,c Abhishek Nayar b Harbhajan Singh,2008,0,1,Mumbai Indians
335985,2,Royal Challengers Bangalore,Ross Taylor,23,12,191.7,Sanath Jayasuriya,caught,Abhishek Nayar,c Abhishek Nayar b Sanath Jayasuriya,2008,1,2,Mumbai Indians
335985,2,Royal Challengers Bangalore,Virat Kohli,23,14,164.3,Ashish Nehra,caught,Luke Ronchi,c Luke Ronchi b Ashish Nehra,2008,3,1,Mumbai Indians
335985,2,Royal Challengers Bangalore,Shivnarine Chanderpaul,16,11,145.5,Dhawal Kulkarni,caught,Abhishek Nayar,c Abhishek Nayar b Dhawal Kulkarni,2008,3,0,Mumbai Indians
335985,2,Royal Challengers Bangalore,Balachandra Akhil,3,5,60.0,,,,not out,2008,0,0,Mumbai Indians
335986,1,Deccan Chargers,Andrew Symonds,32,39,82.1,Ajit Agarkar,caught,David Hussey,c David Hussey b Ajit Agarkar,2008,2,2,Kolkata Knight Riders
335986,1,Deccan Chargers,Adam Gilchrist,23,21,109.5,Murali Kartik,caught,Mohammad Hafeez,c Mohammad Hafeez b Murali Kartik,2008,1,2,Kolkata Knight Riders
335986,1,Deccan Chargers,Sanjay Bangar,14,10,140.0,Murali Kartik,caught,Wriddhiman Saha,c Wriddhiman Saha b Murali Kartik,2008,1,1,Kolkata Knight Riders
335986,1,Deccan Chargers,Venugopal Rao,14,13,107.7,Ishant Sharma,caught,Murali Kartik,c Murali Kartik b Ishant Sharma,2008,1,0,Kolkata Knight Riders
335986,1,Deccan Chargers,Arjun Yadav,10,10,100.0,David Hussey,caught,Ashoke Dinda,c Ashoke Dinda b David Hussey,2008,0,1,Kolkata Knight Riders
335986,1,Deccan Chargers,Scott Styris,6,7,85.7,Mohammad Hafeez,bowled,,b Mohammad Hafeez,2008,1,0,Kolkata Knight Riders
335986,1,Deccan Chargers,RP Singh,1,2,50.0,,,,not out,2008,0,0,Kolkata Knight Riders
335986,1,Deccan Chargers,Chaminda Vaas,0,1,0.0,Ajit Agarkar,caught,Sourav Ganguly,c Sourav Ganguly b Ajit Agarkar,2008,0,0,Kolkata Knight Riders
335986,1,Deccan Chargers,Rohit Sharma,0,3,0.0,Murali Kartik,caught,Wriddhiman Saha,c Wriddhiman Saha b Murali Kartik,2008,0,0,Kolkata Knight Riders
335986,1,Deccan Chargers,VVS Laxman,0,6,0.0,Ashoke Dinda,caught,Laxmi Shukla,c Laxmi Shukla b Ashoke Dinda,2008,0,0,Kolkata Knight Riders
335986,2,Kolkata Knight Riders,David Hussey,38,43,88.4,,,,not out,2008,1,3,Deccan Chargers
335986,2,Kolkata Knight Riders,Sourav Ganguly,14,29,48.3,Pragyan Ojha,bowled,,b Pragyan Ojha,2008,1,0,Deccan Chargers
335986,2,Kolkata Knight Riders,Mohammad Hafeez,13,13,100.0,Pragyan Ojha,caught,Andrew Symonds,c Andrew Symonds b Pragyan Ojha,2008,1,1,Deccan Chargers
335986,2,Kolkata Knight Riders,Wriddhiman Saha,10,17,58.8,Chaminda Vaas,caught,Scott Styris,c Scott Styris b Chaminda Vaas,2008,1,0,Deccan Chargers
335986,2,Kolkata Knight Riders,Brendon McCullum,5,5,100.0,RP Singh,caught,Rohit Sharma,c Rohit Sharma b RP Singh,2008,1,0,Deccan Chargers
335986,2,Kolkata Knight Riders,Laxmi Shukla,4,6,66.7,,,,not out,2008,0,0,Deccan Chargers
335986,2,Kolkata Knight Riders,Ricky Ponting,0,1,0.0,Chaminda Vaas,lbw,,lbw b Chaminda Vaas,2008,0,0,Deccan Chargers
335987,1,Punjab Kings,Yuvraj Singh,57,34,167.6,Shane Warne,lbw,,lbw b Shane Warne,2008,6,3,Rajasthan Royals
335987,1,Punjab Kings,Karan Goel,26,21,123.8,Munaf Patel,bowled,,b Munaf Patel,2008,3,2,Rajasthan Royals
335987,1,Punjab Kings,Piyush Chawla,24,10,240.0,,,,not out,2008,4,0,Rajasthan Royals
335987,1,Punjab Kings,Kumar Sangakkara,20,8,250.0,Shane Warne,caught and bowled,,c &b Shane Warne,2008,3,1,Rajasthan Royals
335987,1,Punjab Kings,James Hopes,16,16,100.0,Shane Warne,lbw,,lbw b Shane Warne,2008,2,0,Rajasthan Royals
335987,1,Punjab Kings,Irfan Pathan,12,19,63.2,Siddharth Trivedi,bowled,,b Siddharth Trivedi,2008,0,1,Rajasthan Royals
335987,1,Punjab Kings,Sunny Sohal,4,4,100.0,Munaf Patel,run out,"RA Jadeja,Kamran Akmal","run out RA Jadeja,Kamran Akmal",2008,0,0,Rajasthan Royals
335987,1,Punjab Kings,Mahela Jayawardene,2,4,50.0,Dinesh Salunkhe,stumped,Kamran Akmal,stumped Kamran Akmal b Dinesh Salunkhe,2008,0,0,Rajasthan Royals
335987,1,Punjab Kings,Wilkin Mota,1,1,100.0,,,,not out,2008,0,0,Rajasthan Royals
335987,1,Punjab Kings,Brett Lee,0,2,0.0,Siddharth Trivedi,caught,Kamran Akmal,c Kamran Akmal b Siddharth Trivedi,2008,0,0,Rajasthan Royals
335987,2,Rajasthan Royals,Shane Watson,76,48,158.3,,,,not out,2008,5,5,Punjab Kings
335987,2,Rajasthan Royals,Ravindra Jadeja,36,24,150.0,,,,not out,2008,5,1,Punjab Kings
335987,2,Rajasthan Royals,Darren Lehmann,17,16,106.2,Irfan Pathan,lbw,,lbw b Irfan Pathan,2008,3,0,Punjab Kings
335987,2,Rajasthan Royals,Kamran Akmal,15,9,166.7,James Hopes,caught,Piyush Chawla,c Piyush Chawla b James Hopes,2008,2,1,Punjab Kings
335987,2,Rajasthan Royals,Yusuf Pathan,7,5,140.0,Brett Lee,caught and bowled,,c &b Brett Lee,2008,1,0,Punjab Kings
335987,2,Rajasthan Royals,Mohammad Kaif,5,7,71.4,S Sreesanth,caught,Kumar Sangakkara,c Kumar Sangakkara b S Sreesanth,2008,1,0,Punjab Kings
335988,1,Deccan Chargers,Rohit Sharma,66,36,183.3,Rajat Bhatia,caught,Glenn McGrath,c Glenn McGrath b Rajat Bhatia,2008,6,4,Delhi Capitals
335988,1,Deccan Chargers,Venugopal Rao,14,22,63.6,Farveez Maharoof,caught,Shikhar Dhawan,c Shikhar Dhawan b Farveez Maharoof,2008,2,0,Delhi Capitals
335988,1,Deccan Chargers,Chaminda Vaas,12,5,240.0,,,,not out,2008,0,1,Delhi Capitals
335988,1,Deccan Chargers,Arjun Yadav,12,7,171.4,Yo Mahesh,caught,Gautam Gambhir,c Gautam Gambhir b Yo Mahesh,2008,2,0,Delhi Capitals
335988,1,Deccan Chargers,Andrew Symonds,12,13,92.3,Farveez Maharoof,caught,Dinesh Karthik,c Dinesh Karthik b Farveez Maharoof,2008,2,0,Delhi Capitals
335988,1,Deccan Chargers,Adam Gilchrist,8,9,88.9,Mohammad Asif,bowled,,b Mohammad Asif,2008,0,1,Delhi Capitals
335988,1,Deccan Chargers,Sanjay Bangar,8,14,57.1,Rajat Bhatia,run out,"MK Tiwary,KD Karthik","run out MK Tiwary,KD Karthik",2008,0,0,Delhi Capitals
335988,1,Deccan Chargers,VVS Laxman,2,6,33.3,Mohammad Asif,bowled,,b Mohammad Asif,2008,0,0,Delhi Capitals
335988,1,Deccan Chargers,Shahid Afridi,2,7,28.6,Rajat Bhatia,lbw,,lbw b Rajat Bhatia,2008,0,0,Delhi Capitals
335988,1,Deccan Chargers,RP Singh,1,1,100.0,,,,not out,2008,0,0,Delhi Capitals
335988,2,Delhi Capitals,Virender Sehwag,94,40,235.0,,,,not out,2008,10,6,Deccan Chargers
335988,2,Delhi Capitals,Shikhar Dhawan,25,28,89.3,,,,not out,2008,3,0,Deccan Chargers
335988,2,Delhi Capitals,Gautam Gambhir,12,9,133.3,RP Singh,caught,Adam Gilchrist,c Adam Gilchrist b RP Singh,2008,2,0,Deccan Chargers
335989,1,Chennai Super Kings,Matthew Hayden,81,44,184.1,Ashish Nehra,run out,Harbhajan Singh,run out Harbhajan Singh,2008,12,2,Mumbai Indians
335989,1,Chennai Super Kings,Suresh Raina,53,37,143.2,Musavir Khote,caught,Dwayne Bravo,c Dwayne Bravo b Musavir Khote,2008,3,3,Mumbai Indians
335989,1,Chennai Super Kings,Mahendra Singh Dhoni,30,16,187.5,Musavir Khote,caught,Dwayne Bravo,c Dwayne Bravo b Musavir Khote,2008,4,1,Mumbai Indians
335989,1,Chennai Super Kings,Parthiv Patel,14,11,127.3,Ashish Nehra,caught,Luke Ronchi,c Luke Ronchi b Ashish Nehra,2008,3,0,Mumbai Indians
335989,1,Chennai Super Kings,Jacob Oram,5,2,250.0,,,,not out,2008,1,0,Mumbai Indians
335989,1,Chennai Super Kings,Michael Hussey,5,9,55.6,Dhawal Kulkarni,bowled,,b Dhawal Kulkarni,2008,1,0,Mumbai Indians
335989,1,Chennai Super Kings,Subramaniam Badrinath,2,1,200.0,,,,not out,2008,0,0,Mumbai Indians
335989,2,Mumbai Indians,Abhishek Nayar,45,19,236.8,,,,not out,2008,6,1,Chennai Super Kings
335989,2,Mumbai Indians,Robin Uthappa,43,35,122.9,Joginder Sharma,bowled,,b Joginder Sharma,2008,6,1,Chennai Super Kings
335989,2,Mumbai Indians,Harbhajan Singh,28,14,200.0,Muttiah Muralitharan,caught,Subramaniam Badrinath,c Subramaniam Badrinath b Muttiah Muralitharan,2008,1,3,Chennai Super Kings
335989,2,Mumbai Indians,Dwayne Bravo,24,16,150.0,Joginder Sharma,caught,Jacob Oram,c Jacob Oram b Joginder Sharma,2008,2,1,Chennai Super Kings
335989,2,Mumbai Indians,Sanath Jayasuriya,20,11,181.8,Manpreet Gony,caught,Joginder Sharma,c Joginder Sharma b Manpreet Gony,2008,4,0,Chennai Super Kings
335989,2,Mumbai Indians,Shaun Pollock,17,15,113.3,Palani Amarnath,bowled,,b Palani Amarnath,2008,0,1,Chennai Super Kings
335989,2,Mumbai Indians,Musavir Khote,9,5,180.0,Muttiah Muralitharan,caught,Suresh Raina,c Suresh Raina b Muttiah Muralitharan,2008,0,1,Chennai Super Kings
335989,2,Mumbai Indians,Luke Ronchi,2,3,66.7,Jacob Oram,run out,Subramaniam Badrinath,run out Subramaniam Badrinath,2008,0,0,Chennai Super Kings
335989,2,Mumbai Indians,Ashish Nehra,1,2,50.0,,,,not out,2008,0,0,Chennai Super Kings
335990,1,Deccan Chargers,Andrew Symonds,117,52,225.0,,,,not out,2008,11,7,Rajasthan Royals
335990,1,Deccan Chargers,Rohit Sharma,36,30,120.0,Shane Warne,caught,Dinesh Salunkhe,c Dinesh Salunkhe b Shane Warne,2008,3,1,Rajasthan Royals
335990,1,Deccan Chargers,Arjun Yadav,16,9,177.8,Shane Watson,caught,Kamran Akmal,c Kamran Akmal b Shane Watson,2008,3,0,Rajasthan Royals
335990,1,Deccan Chargers,VVS Laxman,16,16,100.0,Shane Warne,caught and bowled,,c &b Shane Warne,2008,3,0,Rajasthan Royals
335990,1,Deccan Chargers,Adam Gilchrist,13,9,144.4,Yusuf Pathan,stumped,Kamran Akmal,stumped Kamran Akmal b Yusuf Pathan,2008,3,0,Rajasthan Royals
335990,1,Deccan Chargers,Shahid Afridi,10,4,250.0,Yusuf Pathan,caught,Ravindra Jadeja,c Ravindra Jadeja b Yusuf Pathan,2008,1,1,Rajasthan Royals
335990,2,Rajasthan Royals,Graeme Smith,71,45,157.8,Shahid Afridi,caught,Doddapaneni Kalyankrishna,c Doddapaneni Kalyankrishna b Shahid Afridi,2008,9,2,Deccan Chargers
335990,2,Rajasthan Royals,Yusuf Pathan,61,28,217.9,Doddapaneni Kalyankrishna,caught,Andrew Symonds,c Andrew Symonds b Doddapaneni Kalyankrishna,2008,4,6,Deccan Chargers
335990,2,Rajasthan Royals,Mohammad Kaif,34,16,212.5,Shahid Afridi,caught,Andrew Symonds,c Andrew Symonds b Shahid Afridi,2008,2,3,Deccan Chargers
335990,2,Rajasthan Royals,Shane Warne,22,8,275.0,,,,not out,2008,2,2,Deccan Chargers
335990,2,Rajasthan Royals,Kamran Akmal,12,9,133.3,Chaminda Vaas,caught,Sanjay Bangar,c Sanjay Bangar b Chaminda Vaas,2008,1,1,Deccan Chargers
335990,2,Rajasthan Royals,Pankaj Singh,4,3,133.3,,,,not out,2008,0,0,Deccan Chargers
335990,2,Rajasthan Royals,Shane Watson,4,6,66.7,Shahid Afridi,bowled,,b Shahid Afridi,2008,0,0,Deccan Chargers
335990,2,Rajasthan Royals,Dinesh Salunkhe,1,1,100.0,RP Singh,run out,"VVS Laxman,RP Singh","run out VVS Laxman,RP Singh",2008,0,0,Deccan Chargers
335990,2,Rajasthan Royals,Ravindra Jadeja,1,3,33.3,RP Singh,bowled,,b RP Singh,2008,0,0,Deccan Chargers
335991,2,Mumbai Indians,Dwayne Bravo,23,21,109.5,Piyush Chawla,bowled,,b Piyush Chawla,2008,4,0,Punjab Kings
335991,2,Mumbai Indians,Shaun Pollock,22,21,104.8,S Sreesanth,caught,Yuvraj Singh,c Yuvraj Singh b S Sreesanth,2008,2,1,Punjab Kings
335991,2,Mumbai Indians,Robin Uthappa,21,17,123.5,Vikram Singh,caught,Ramnaresh Sarwan,c Ramnaresh Sarwan b Vikram Singh,2008,2,1,Punjab Kings
335991,2,Mumbai Indians,Saurabh Tiwary,17,10,170.0,Piyush Chawla,bowled,,b Piyush Chawla,2008,2,1,Punjab Kings
335991,2,Mumbai Indians,Luke Ronchi,11,8,137.5,Brett Lee,run out,Brett Lee,run out Brett Lee,2008,1,1,Punjab Kings
335991,2,Mumbai Indians,Musavir Khote,8,7,114.3,S Sreesanth,hit wicket,,hit wicket  b S Sreesanth,2008,1,0,Punjab Kings
335991,2,Mumbai Indians,Abhishek Nayar,2,3,66.7,Irfan Pathan,caught,Piyush Chawla,c Piyush Chawla b Irfan Pathan,2008,0,0,Punjab Kings
335991,2,Mumbai Indians,Ashish Nehra,2,9,22.2,,,,not out,2008,0,0,Punjab Kings
335991,2,Mumbai Indians,Dhawal Kulkarni,2,16,12.5,,,,not out,2008,0,0,Punjab Kings
335991,2,Mumbai Indians,Sanath Jayasuriya,1,7,14.3,Brett Lee,caught and bowled,,c &b Brett Lee,2008,0,0,Punjab Kings
335991,2,Mumbai Indians,Harbhajan Singh,0,1,0.0,Irfan Pathan,lbw,,lbw b Irfan Pathan,2008,0,0,Punjab Kings
335991,1,Punjab Kings,Kumar Sangakkara,94,56,167.9,Harbhajan Singh,caught,Dhawal Kulkarni,c Dhawal Kulkarni b Harbhajan Singh,2008,13,1,Mumbai Indians
335991,1,Punjab Kings,Yuvraj Singh,18,9,200.0,Shaun Pollock,caught,Dwayne Bravo,c Dwayne Bravo b Shaun Pollock,2008,1,1,Mumbai Indians
335991,1,Punjab Kings,Karan Goel,18,21,85.7,Harbhajan Singh,run out,"DJ Bravo,L Ronchi","run out DJ Bravo,L Ronchi",2008,1,1,Mumbai Indians
335991,1,Punjab Kings,Brett Lee,16,7,228.6,,,,not out,2008,2,1,Mumbai Indians
335991,1,Punjab Kings,Mahela Jayawardene,12,7,171.4,Harbhajan Singh,caught,AM Rahane (sub),c AM Rahane (sub) b Harbhajan Singh,2008,0,1,Mumbai Indians
335991,1,Punjab Kings,Ramnaresh Sarwan,7,9,77.8,Ashish Nehra,caught,Harbhajan Singh,c Harbhajan Singh b Ashish Nehra,2008,0,0,Mumbai Indians
335991,1,Punjab Kings,Irfan Pathan,6,3,200.0,Ashish Nehra,caught,Dhawal Kulkarni,c Dhawal Kulkarni b Ashish Nehra,2008,0,0,Mumbai Indians
335991,1,Punjab Kings,Vikram Singh,4,2,200.0,Dhawal Kulkarni,run out,"Harbhajan Singh,L Ronchi","run out Harbhajan Singh,L Ronchi",2008,1,0,Mumbai Indians
335991,1,Punjab Kings,Piyush Chawla,0,1,0.0,Harbhajan Singh,lbw,,lbw b Harbhajan Singh,2008,0,0,Mumbai Indians
335991,1,Punjab Kings,S Sreesanth,0,1,0.0,Dhawal Kulkarni,caught,Luke Ronchi,c Luke Ronchi b Dhawal Kulkarni,2008,0,0,Mumbai Indians
335991,1,Punjab Kings,Sunny Sohal,0,4,0.0,Dhawal Kulkarni,caught,Ashish Nehra,c Ashish Nehra b Dhawal Kulkarni,2008,0,0,Mumbai Indians
335992,2,Rajasthan Royals,Shane Watson,61,41,148.8,,,,not out,2008,8,2,Royal Challengers Bangalore
335992,2,Rajasthan Royals,Graeme Smith,49,42,116.7,Sunil Joshi,caught,Anil Kumble,c Anil Kumble b Sunil Joshi,2008,8,0,Royal Challengers Bangalore
335992,2,Rajasthan Royals,Yusuf Pathan,21,12,175.0,Zaheer Khan,caught,Mark Boucher,c Mark Boucher b Zaheer Khan,2008,5,0,Royal Challengers Bangalore
335992,2,Rajasthan Royals,Mohammad Kaif,4,6,66.7,,,,not out,2008,1,0,Royal Challengers Bangalore
335992,2,Rajasthan Royals,Mahesh Rawat,0,2,0.0,Praveen Kumar,caught,Mark Boucher,c Mark Boucher b Praveen Kumar,2008,0,0,Royal Challengers Bangalore
335992,1,Royal Challengers Bangalore,Ross Taylor,44,20,220.0,Munaf Patel,caught,Graeme Smith,c Graeme Smith b Munaf Patel,2008,6,3,Rajasthan Royals
335992,1,Royal Challengers Bangalore,Praveen Kumar,34,30,113.3,Shane Watson,run out,"M Rawat,SR Watson","run out M Rawat,SR Watson",2008,2,3,Rajasthan Royals
335992,1,Royal Challengers Bangalore,Zaheer Khan,17,17,100.0,,,,not out,2008,2,0,Rajasthan Royals
335992,1,Royal Challengers Bangalore,Virat Kohli,13,14,92.9,Munaf Patel,caught,Mahesh Rawat,c Mahesh Rawat b Munaf Patel,2008,0,1,Rajasthan Royals
335992,1,Royal Challengers Bangalore,Jacques Kallis,11,10,110.0,Siddharth Trivedi,caught,Munaf Patel,c Munaf Patel b Siddharth Trivedi,2008,2,0,Rajasthan Royals
335992,1,Royal Challengers Bangalore,Mark Boucher,4,10,40.0,Shane Warne,caught,Mahesh Rawat,c Mahesh Rawat b Shane Warne,2008,0,0,Rajasthan Royals
335992,1,Royal Challengers Bangalore,Sunil Joshi,3,8,37.5,Shane Warne,run out,"Sohail Tanvir,M Rawat","run out Sohail Tanvir,M Rawat",2008,0,0,Rajasthan Royals
335992,1,Royal Challengers Bangalore,Shivnarine Chanderpaul,2,9,22.2,Shane Watson,caught,Ravindra Jadeja,c Ravindra Jadeja b Shane Watson,2008,0,0,Rajasthan Royals
335992,1,Royal Challengers Bangalore,Vinay Kumar,1,1,100.0,,,,not out,2008,0,0,Rajasthan Royals
335992,1,Royal Challengers Bangalore,Rahul Dravid,0,1,0.0,Shane Watson,caught,Ravindra Jadeja,c Ravindra Jadeja b Shane Watson,2008,0,0,Rajasthan Royals
335993,2,Chennai Super Kings,Matthew Hayden,70,48,145.8,,,,not out,2008,6,3,Kolkata Knight Riders
335993,2,Chennai Super Kings,Mahendra Singh Dhoni,43,27,159.3,,,,not out,2008,3,2,Kolkata Knight Riders
335993,2,Chennai Super Kings,Parthiv Patel,21,27,77.8,Ajit Agarkar,caught,Ishant Sharma,c Ishant Sharma b Ajit Agarkar,2008,3,0,Kolkata Knight Riders
335993,1,Kolkata Knight Riders,Laxmi Shukla,42,33,127.3,Joginder Sharma,run out,"MS Dhoni,Joginder Sharma","run out MS Dhoni,Joginder Sharma",2008,4,1,Chennai Super Kings
335993,1,Kolkata Knight Riders,Wriddhiman Saha,27,16,168.8,Manpreet Gony,bowled,,b Manpreet Gony,2008,5,1,Chennai Super Kings
335993,1,Kolkata Knight Riders,Brendon McCullum,24,11,218.2,Jacob Oram,caught,Suresh Raina,c Suresh Raina b Jacob Oram,2008,2,2,Chennai Super Kings
